 ID,log2(fold change),#NAME?
183,0.449,5.26
265,1.144,5.73
497,-0.695,4.58
1538,0.286,4.309
2486,0.994,5.078
2727,-0.446,4.752
4231,0.408,5.194
5315,0.317,4.252
5805,0.447,4.539
6104,-0.355,4.613
6804,-0.765,4.462
6861,0.905,5.845
8557,-0.242,8.154
8801,0.707,4.671
9239,1.047,5.182
10324,0.642,4.371
10493,0.443,4.913
10819,0.725,4.189
10951,0.745,4.735
12637,1.025,5.135
13619,0.517,5.106
15033,1.292,4.236
15141,1.087,5.249
15310,-0.351,4.465
15804,-0.309,4.296
16230,1.043,4.981
16929,0.474,5.026
19715,-0.217,4.297
21702,0.709,4.999
22984,-0.186,4.613
23975,1.014,5.188
25130,0.669,4.427
26061,0.657,4.423
28075,0.789,4.711
28287,0.608,4.385
28843,0.738,4.99
30604,0.435,5.093
30672,0.443,5.191
31974,-0.372,4.201
32990,0.555,6.108
35351,0.413,4.235
37818,0.67,4.283
37917,-0.496,4.522
38677,0.785,4.19
38720,0.577,4.711
39805,0.416,4.863
41033,0.566,6.238
41969,0.365,5.321
41978,1.515,5.775
42604,0.715,4.611
44270,0.501,4.781
44378,0.868,5.934
44482,0.684,4.489
44846,-0.228,4.458
45046,0.284,5.344
45735,0.789,4.686
45842,0.439,5.473
46673,1.11,6.743
47306,0.795,4.37
47843,0.766,5.144
48194,0.325,4.3
48402,-0.207,4.248
50464,1.331,5.16
51563,0.671,7.887
52612,0.464,6.467
54004,0.787,4.281
54030,-0.56,4.52
54675,0.437,5.512
54978,1.042,4.958
55105,0.899,5.805
56225,0.422,4.999
56542,1.006,8.907
58604,0.403,4.609
59548,0.65,5.34
60170,0.347,4.287
60246,-0.361,5.123
60345,1.635,4.979
61105,-0.343,4.47
61412,1.077,5.067
61707,0.871,6.184
62350,1.037,5.036
62525,1.024,4.845
